Official Name State,Official Name Suburb,latitude,longitude
New South Wales,The Sandon,-29.66515091,153.2945847
New South Wales,The Slopes,-33.53232988,150.7057535
New South Wales,Tomago,-32.82081423,151.737965
New South Wales,Tomakin,-35.82207041,150.1890063
New South Wales,Trentham Cliffs,-34.23144477,142.2537654
New South Wales,Trundle,-32.87114828,147.7106832
New South Wales,Tuena,-34.04320731,149.3179946
New South Wales,Upper Mongogarie,-28.966572,152.8029345
New South Wales,Upper Tooloom,-28.56237954,152.373271
New South Wales,Wakool,-35.46527541,144.354254
New South Wales,Walcha,-31.05053113,151.7331685
New South Wales,Wallanthery,-33.24076122,145.8919279
New South Wales,Wambrook,-36.18081525,148.9772249
New South Wales,Warburn,-34.17061979,145.9220567
New South Wales,Waterview,-29.68664849,152.9029302
New South Wales,West Pymble,-33.76425653,151.1299905
New South Wales,Whoota,-32.31511006,152.4808586
New South Wales,Wildes Meadow,-34.63529215,150.5214136
New South Wales,Willigobung,-35.65560258,148.0379073
New South Wales,Wilsons Creek,-28.56874045,153.431869
New South Wales,Woodview,-28.84720471,152.9398305
New South Wales,Woronora,-34.02524165,151.0415707
New South Wales,Wymah,-35.99397984,147.2614721
New South Wales,Yerong Creek,-35.38864228,147.0642092
New South Wales,Yowrie,-36.31488185,149.7445537
Victoria,Allambee,-38.29284055,146.0216966
Victoria,Ardmona,-36.38013001,145.3010887
Victoria,Arnold (Vic.),-36.67519786,143.8595195
Victoria,Barkly (Vic.),-36.94444713,143.217873
Victoria,Baxter,-38.20088757,145.1567795
Victoria,Beauchamp,-35.62576775,143.6250498
Victoria,Bellarine,-38.13614753,144.6216997
Victoria,Blackburn,-37.8216704,145.1522016
Victoria,Bochara,-37.68744555,141.908933
Victoria,Boho South,-36.77231079,145.8164558
Victoria,Boomahnoomoonah,-36.1241412,146.099096
Victoria,Broadmeadows (Vic.),-37.68318607,144.9317731
Victoria,Buln Buln,-38.09485223,145.9531377
Victoria,Buln Buln East,-38.07229542,146.0113665
Victoria,Burkes Flat,-36.63965822,143.560465
Victoria,California Gully,-36.72891562,144.2602881
Victoria,Ceres,-38.16461474,144.2728004
Victoria,Clayton South,-37.94306429,145.1252142
Victoria,Delacombe,-37.58088802,143.8159989
Victoria,Deptford,-37.56617883,147.6884298
Victoria,Devils River,-37.17347491,145.8358951
