Year,Male_Rate,Female_Rate,Total_Rate
2000,339,277,307
2001,353,283,317
2002,376,308,341
2003,376,312,343
2004,363,290,326
2005,357,280,318
2006,325,251,287
2007,370,278,323
2008,412,309,359
2009,374,283,328
2010,360,263,311
2011,351,263,306
2012,329,239,283
2013,319,228,273
2014,292,216,253
2015,264,194,228
2016,253,182,217
2017,245,175,209
2018,245,176,210
2019,236,164,199
2020,235,169,201
2021,205,148,176
